 139420691  995939  9 20  21  47 262.9076389  -70.12569   42.11253 -1.0 nan
 139420691  995939  9 20  23  46 262.9902778  -70.09893   42.10317 -1.0 nan
 139420691  995939  9 21   1  47 263.0743056  -70.13568   42.10352 -1.0 nan
 139420691  995939  9 21   3  46 263.1569444  -70.18864   42.10136 -1.0 nan
 139420691  995939  9 21   5  46 263.2402778  -70.18341   42.09335 -1.0 nan
 139420691  995939  9 21   7  46 263.3236111  -70.12086   42.08495 -1.0 nan
 139420691  995939  9 21   9  46 263.4069444  -70.08097   42.06403 -1.0 nan
 139420691  995939  9 21  11  46 263.4902778  -70.10318   42.06872 -1.0 nan
 139420691  995939  9 21  13  46 263.5736111  -70.16163    42.0878 -1.0 nan
 139420691  995939  9 21  15  46 263.6569444  -70.20214   42.09595 -1.0 nan
 139420691  995939  9 21  17  46 263.7402778  -70.18939   42.09513 -1.0 nan
 139420691  995939  9 21  19  46 263.8236111  -70.11702    42.0914 -1.0 nan
 139420691  995939  9 21  21  46 263.9069444  -70.05994    42.0726 -1.0 nan
 139420691  995939  9 21  23  46 263.9902778  -70.04271   42.06307 -1.0 nan
 139420691  995939  9 22   1  46 264.0736111  -70.05612   42.07384 -1.0 nan
 139420691  995939  9 22   3  47 264.1576389  -70.08223   42.08933 -1.0 nan
 139420691  995939  9 22   5  46 264.2402778  -70.09549   42.10379 -1.0 nan
 139420691  995939  9 22   7  46 264.3236111  -70.06803   42.11407 -1.0 nan
 139420691  995939  9 22   9  46 264.4069444  -70.03041   42.11802 -1.0 nan
 139420691  995939  9 22  11  46 264.4902778  -69.99808   42.12548 -1.0 nan
 139420691  995939  9 22  13  46 264.5736111   -69.9784   42.12691 -1.0 nan
 139420691  995939  9 22  15  47 264.6576389  -69.97894   42.11908 -1.0 nan
 139420691  995939  9 22  17  46 264.7402778  -69.98258   42.09648 -1.0 nan
 139420691  995939  9 22  19  46 264.8236111  -69.97868   42.07227 -1.0 nan
 139420691  995939  9 22  21  47 264.9076389  -69.96718   42.05086 -1.0 nan
 139420691  995939  9 22  23  46 264.9902778   -69.9643   42.04066 -1.0 nan
 139420691  995939  9 23   1  47 265.0743056  -69.96259   42.04391 -1.0 nan
 139420691  995939  9 23   3  46 265.1569444  -69.95859    42.0437 -1.0 nan
